"day","pm25","season","risk"
1,10.5161948275823,"winter","good"
2,13.1585800841338,"winter","moderate"
3,27.469666513193,"winter","moderate"
4,15.5640671313966,"winter","moderate"
5,16.0343018812876,"winter","moderate"
6,28.7205198950662,"winter","moderate"
7,18.6873296479136,"winter","moderate"
8,4.87951012314773,"winter","good"
9,9.50517718485179,"winter","good"
10,11.4347042392003,"winter","good"
11,24.7926543795157,"winter","moderate"
12,17.8785106164589,"winter","moderate"
13,18.2061716047524,"winter","moderate"
14,15.885461727561,"winter","moderate"
15,10.5532709219674,"winter","good"
16,29.2953050944246,"winter","moderate"
17,18.9828038258339,"winter","moderate"
18,0,"winter","good"
19,20.6108472125095,"winter","moderate"
20,11.2176687381765,"winter","good"
21,6.45741035210524,"winter","good"
22,13.2562006827336,"winter","moderate"
23,6.79196441354208,"winter","good"
24,9.16887016567088,"winter","good"
25,9.99968585720594,"winter","good"
26,1.50645351406069,"winter","good"
27,21.7022963559562,"winter","moderate"
28,16.2269849426921,"winter","moderate"
29,5.89490450390442,"winter","good"
30,25.0305193685594,"winter","moderate"
31,18.4117137718145,"winter","moderate"
32,12.6394281360618,"winter","moderate"
33,22.1610052883602,"winter","moderate"
34,22.0250679002643,"winter","moderate"
35,21.5726486530999,"winter","moderate"
36,20.5091220328007,"winter","moderate"
37,19.4313412283007,"winter","moderate"
38,14.5047063153862,"winter","moderate"
39,12.5522986900807,"winter","moderate"
40,11.9562319919009,"winter","good"
41,9.4423441686359,"winter","good"
42,13.3366617758432,"winter","moderate"
43,4.87682918745388,"winter","good"
44,32.3516477227081,"winter","moderate"
45,24.6636959864399,"winter","moderate"
46,6.0151313343732,"winter","good"
47,11.7769213176074,"winter","good"
48,11.2667571710143,"winter","good"
49,21.2397209466905,"winter","moderate"
50,14.3330474682254,"winter","moderate"
51,17.026548111958,"winter","moderate"
52,14.7716259572104,"winter","moderate"
53,14.6570363416695,"winter","moderate"
54,25.9488182721157,"winter","moderate"
55,13.1938321147259,"winter","moderate"
56,27.1317648354363,"winter","moderate"
57,2.60997756615823,"winter","good"
58,19.6769099970886,"winter","moderate"
59,15.9908339507569,"winter","moderate"
60,16.7275325499518,"winter","moderate"
61,18.0371158620791,"winter","moderate"
62,10.9814123751256,"winter","good"
63,12.3343409306446,"winter","moderate"
64,6.85139693514329,"winter","good"
65,6.42567018819538,"winter","good"
66,17.4282291312341,"winter","moderate"
67,18.5856782290354,"winter","moderate"
68,15.424033813844,"winter","moderate"
69,22.3781397430379,"winter","moderate"
70,31.4006774850172,"winter","moderate"
71,11.0717506715477,"winter","good"
72,0,"winter","good"
73,23.0459081956981,"winter","moderate"
74,9.32639389934086,"winter","good"
75,9.49593106826114,"winter","good"
76,23.2045709575736,"winter","moderate"
77,12.7218159435919,"winter","moderate"
78,5.23425830196372,"winter","good"
79,16.4504278379932,"winter","moderate"
80,13.8888691004876,"winter","moderate"
81,15.0461134871991,"winter","moderate"
82,18.0822432090106,"winter","moderate"
83,12.0347197456607,"winter","moderate"
84,20.1550123881507,"winter","moderate"
85,13.23610750545,"winter","moderate"
86,17.6542557113256,"winter","moderate"
87,23.7747121051948,"winter","moderate"
88,18.4814519266704,"winter","moderate"
89,12.3925473157502,"winter","moderate"
90,24.1904609476088,"winter","moderate"
91,22.948030847697,"spring","moderate"
92,19.3871756760646,"spring","moderate"
93,16.9098538808915,"spring","moderate"
94,9.97675139168503,"spring","good"
95,25.8852195882401,"spring","moderate"
96,10.197923302823,"spring","good"
97,32.4986639441326,"spring","moderate"
98,27.2608850094815,"spring","moderate"
99,13.1143971271962,"spring","moderate"
100,6.78863279754576,"spring","good"
101,9.31674749040559,"spring","good"
102,17.0550696732522,"spring","moderate"
103,13.026464972301,"spring","moderate"
104,12.2196592048181,"spring","moderate"
105,7.38705146187987,"spring","good"
106,14.6397782015286,"spring","moderate"
107,8.72076424434339,"spring","good"
108,1.65646450729491,"spring","good"
109,11.9581878376979,"spring","good"
110,22.3519728724861,"spring","moderate"
111,10.3972242991329,"spring","good"
112,19.8637145778003,"spring","moderate"
113,2.05693833368669,"spring","good"
114,14.5555042758037,"spring","moderate"
115,19.1552576315477,"spring","moderate"
116,17.4092268973337,"spring","moderate"
117,15.8454095531915,"spring","moderate"
118,9.87435193355699,"spring","good"
119,8.20236523173134,"spring","good"
120,6.80696967516069,"spring","good"
121,15.941172776801,"spring","moderate"
122,7.42020308652158,"spring","good"
123,11.0755404503947,"spring","good"
124,12.951262462414,"spring","moderate"
125,29.7508960418577,"spring","moderate"
126,9.78440078643633,"spring","good"
127,16.8830925782789,"spring","moderate"
128,15.6236867965097,"spring","moderate"
129,7.30514692695897,"spring","good"
130,14.4295353110112,"spring","moderate"
131,26.5564068673868,"spring","moderate"
132,18.6120324246337,"spring","moderate"
133,15.3298633759435,"spring","moderate"
134,11.620025341283,"spring","good"
135,0,"spring","good"
136,24.0506977073134,"spring","moderate"
137,3.31487943260142,"spring","good"
138,20.9195800870187,"spring","moderate"
139,30.2728285537399,"spring","moderate"
140,3.44885471222561,"spring","good"
141,20.6142746829977,"spring","moderate"
142,12.9024200847803,"spring","moderate"
143,2.4228467268361,"spring","good"
144,2.88265876974599,"spring","good"
145,2.18771061140325,"spring","good"
146,10.7527478226376,"spring","good"
147,3.3059553200328,"spring","good"
148,20.5033341838066,"spring","moderate"
149,31.8008715242054,"spring","moderate"
150,4.70375619171857,"spring","good"
151,21.3019107798014,"spring","moderate"
152,21.1523379280073,"spring","moderate"
153,17.6576206316009,"spring","moderate"
154,6.93298713378394,"spring","good"
155,14.0443791469547,"spring","moderate"
156,12.756837318638,"spring","moderate"
157,19.5039162657638,"spring","moderate"
158,12.0204899511694,"spring","moderate"
159,22.815787093485,"spring","moderate"
160,12.0033531378639,"spring","moderate"
161,23.4216917246347,"spring","moderate"
162,6.60658394667147,"spring","good"
163,4.9187580419351,"spring","good"
164,40.9283194795392,"spring","unhealthy"
165,11.6651392947165,"spring","good"
166,17.3858207323257,"spring","moderate"
167,20.0925573922708,"spring","moderate"
168,11.1297549943301,"spring","good"
169,19.1348963545089,"spring","moderate"
170,17.9517162190807,"spring","moderate"
171,13.2769559388665,"spring","moderate"
172,15.5223442682025,"spring","moderate"
173,14.7274619700923,"spring","moderate"
174,32.0276151921294,"spring","moderate"
175,9.06931122981737,"spring","good"
176,6.23202986340269,"spring","good"
177,15.3023071933686,"spring","moderate"
178,17.4838459955451,"spring","moderate"
179,18.4921878312815,"spring","moderate"
180,11.3330773383112,"spring","good"
181,6.49339092823047,"summer","good"
182,25.1054814087159,"summer","moderate"
183,12.2027968963716,"summer","moderate"
184,8.075897098773,"summer","good"
185,13.1097634484712,"summer","moderate"
186,13.4225928452116,"summer","moderate"
187,23.8793623177091,"summer","moderate"
188,15.6778983375776,"summer","moderate"
189,21.0324302814762,"summer","moderate"
190,11.0056638626219,"summer","good"
191,16.7155624766528,"summer","moderate"
192,12.4025127080733,"summer","moderate"
193,15.7566682253886,"summer","moderate"
194,7.83709313617967,"summer","good"
195,4.51358773337622,"summer","good"
196,30.9777070779837,"summer","moderate"
197,19.8056705893793,"summer","moderate"
198,4.98982910700045,"summer","good"
199,10.1106726665566,"summer","good"
200,5.51615932322152,"summer","good"
201,32.5904827910698,"summer","moderate"
202,25.4993038114681,"summer","moderate"
203,12.8788395464292,"summer","moderate"
204,19.3455524738567,"summer","moderate"
205,11.6852804166491,"summer","good"
206,11.1900248430754,"summer","good"
207,8.69117729719806,"summer","good"
208,10.2430618603239,"summer","good"
209,28.2072597386935,"summer","moderate"
210,14.5677749993165,"summer","moderate"
211,15.9539618914207,"summer","moderate"
212,16.9494994367927,"summer","moderate"
213,24.8598070278827,"summer","moderate"
214,10.8714893524418,"summer","good"
215,7.0599427968637,"summer","good"
216,28.4055754592255,"summer","moderate"
217,11.4706942647577,"summer","good"
218,9.21547224048101,"summer","good"
219,5.10981504893366,"summer","good"
220,4.72227422145763,"summer","good"
221,10.4082121656161,"summer","good"
222,19.9438865373322,"summer","moderate"
223,23.8787851114377,"summer","moderate"
224,20.6607068306847,"summer","moderate"
225,12.090741623238,"summer","moderate"
226,15.4779994990768,"summer","moderate"
227,9.36322829055944,"summer","good"
228,9.26225470740792,"summer","good"
229,22.0772039918154,"summer","moderate"
230,6.87525937117164,"summer","good"
231,30.6423517239397,"summer","moderate"
232,14.2774432482732,"summer","moderate"
233,16.7163106130337,"summer","moderate"
234,9.09177836208341,"summer","good"
235,10.4048904818938,"summer","good"
