"","day","pm25","season","risk"
"1",1,10.5161948275823,"winter",NA
"2",2,13.1585800841338,"winter",NA
"3",3,27.469666513193,"winter",NA
"4",4,15.5640671313966,"winter",NA
"5",5,16.0343018812876,"winter",NA
"6",6,28.7205198950662,"winter",NA
"7",7,18.6873296479136,"winter",NA
"8",8,4.87951012314773,"winter",NA
"9",9,9.50517718485179,"winter",NA
"10",10,11.4347042392003,"winter",NA
"11",11,24.7926543795157,"winter",NA
"12",12,17.8785106164589,"winter",NA
"13",13,18.2061716047524,"winter",NA
"14",14,15.885461727561,"winter",NA
"15",15,10.5532709219674,"winter",NA
"16",16,29.2953050944246,"winter",NA
"17",17,18.9828038258339,"winter",NA
"18",18,0,"winter",NA
"19",19,20.6108472125095,"winter",NA
"20",20,11.2176687381765,"winter",NA
"21",21,6.45741035210524,"winter",NA
"22",22,13.2562006827336,"winter",NA
"23",23,6.79196441354208,"winter",NA
"24",24,9.16887016567088,"winter",NA
"25",25,9.99968585720594,"winter",NA
"26",26,1.50645351406069,"winter",NA
"27",27,21.7022963559562,"winter",NA
"28",28,16.2269849426921,"winter",NA
"29",29,5.89490450390442,"winter",NA
"30",30,25.0305193685594,"winter",NA
"31",31,18.4117137718145,"winter",NA
"32",32,12.6394281360618,"winter",NA
"33",33,22.1610052883602,"winter",NA
"34",34,22.0250679002643,"winter",NA
"35",35,21.5726486530999,"winter",NA
"36",36,20.5091220328007,"winter",NA
"37",37,19.4313412283007,"winter",NA
"38",38,14.5047063153862,"winter",NA
"39",39,12.5522986900807,"winter",NA
"40",40,11.9562319919009,"winter",NA
"41",41,9.4423441686359,"winter",NA
"42",42,13.3366617758432,"winter",NA
"43",43,4.87682918745388,"winter",NA
"44",44,32.3516477227081,"winter",NA
"45",45,24.6636959864399,"winter",NA
"46",46,6.0151313343732,"winter",NA
"47",47,11.7769213176074,"winter",NA
"48",48,11.2667571710143,"winter",NA
"49",49,21.2397209466905,"winter",NA
"50",50,14.3330474682254,"winter",NA
"51",51,17.026548111958,"winter",NA
"52",52,14.7716259572104,"winter",NA
"53",53,14.6570363416695,"winter",NA
"54",54,25.9488182721157,"winter",NA
"55",55,13.1938321147259,"winter",NA
"56",56,27.1317648354363,"winter",NA
"57",57,2.60997756615823,"winter",NA
"58",58,19.6769099970886,"winter",NA
"59",59,15.9908339507569,"winter",NA
"60",60,16.7275325499518,"winter",NA
"61",61,18.0371158620791,"winter",NA
"62",62,10.9814123751256,"winter",NA
"63",63,12.3343409306446,"winter",NA
"64",64,6.85139693514329,"winter",NA
"65",65,6.42567018819538,"winter",NA
"66",66,17.4282291312341,"winter",NA
"67",67,18.5856782290354,"winter",NA
"68",68,15.424033813844,"winter",NA
"69",69,22.3781397430379,"winter",NA
"70",70,31.4006774850172,"winter",NA
"71",71,11.0717506715477,"winter",NA
"72",72,0,"winter",NA
"73",73,23.0459081956981,"winter",NA
"74",74,9.32639389934086,"winter",NA
"75",75,9.49593106826114,"winter",NA
"76",76,23.2045709575736,"winter",NA
"77",77,12.7218159435919,"winter",NA
"78",78,5.23425830196372,"winter",NA
"79",79,16.4504278379932,"winter",NA
"80",80,13.8888691004876,"winter",NA
"81",81,15.0461134871991,"winter",NA
"82",82,18.0822432090106,"winter",NA
"83",83,12.0347197456607,"winter",NA
"84",84,20.1550123881507,"winter",NA
"85",85,13.23610750545,"winter",NA
"86",86,17.6542557113256,"winter",NA
"87",87,23.7747121051948,"winter",NA
"88",88,18.4814519266704,"winter",NA
"89",89,12.3925473157502,"winter",NA
"90",90,24.1904609476088,"winter",NA
"91",91,22.948030847697,"spring",NA
"92",92,19.3871756760646,"spring",NA
"93",93,16.9098538808915,"spring",NA
"94",94,9.97675139168503,"spring",NA
"95",95,25.8852195882401,"spring",NA
"96",96,10.197923302823,"spring",NA
"97",97,32.4986639441326,"spring",NA
"98",98,27.2608850094815,"spring",NA
"99",99,13.1143971271962,"spring",NA
"100",100,6.78863279754576,"spring",NA
"101",101,9.31674749040559,"spring",NA
"102",102,17.0550696732522,"spring",NA
"103",103,13.026464972301,"spring",NA
"104",104,12.2196592048181,"spring",NA
"105",105,7.38705146187987,"spring",NA
"106",106,14.6397782015286,"spring",NA
"107",107,8.72076424434339,"spring",NA
"108",108,1.65646450729491,"spring",NA
"109",109,11.9581878376979,"spring",NA
"110",110,22.3519728724861,"spring",NA
"111",111,10.3972242991329,"spring",NA
"112",112,19.8637145778003,"spring",NA
"113",113,2.05693833368669,"spring",NA
"114",114,14.5555042758037,"spring",NA
"115",115,19.1552576315477,"spring",NA
"116",116,17.4092268973337,"spring",NA
"117",117,15.8454095531915,"spring",NA
"118",118,9.87435193355699,"spring",NA
"119",119,8.20236523173134,"spring",NA
"120",120,6.80696967516069,"spring",NA
"121",121,15.941172776801,"spring",NA
"122",122,7.42020308652158,"spring",NA
"123",123,11.0755404503947,"spring",NA
"124",124,12.951262462414,"spring",NA
"125",125,29.7508960418577,"spring",NA
"126",126,9.78440078643633,"spring",NA
"127",127,16.8830925782789,"spring",NA
"128",128,15.6236867965097,"spring",NA
"129",129,7.30514692695897,"spring",NA
"130",130,14.4295353110112,"spring",NA
"131",131,26.5564068673868,"spring",NA
